凉	7506
一	149460747
丁	12747041
丂	4102
七	15743057
丄	97972
丅	84458
万	29603291
丈	1449930
三	61189805
上	208168753
下	149754219
丌	4319
不	444721174
与	107446129
丏	2980
丐	244108
丑	7185799
丒	1054
专	6493477
且	6754838
丕	140750
世	10491923
丗	24027
丘	2085273
丙	2455725
业	11532385
丛	1455777
东	33957299
丝	11445559
丞	285596
丠	3337
両	22568
丢	10836080
丣	418
两	28922653
严	8163239
丧	1987671
丨	764526
丩	1311
个	155135610
丫	2946213
丬	38613
中	158685083
丮	271
丯	2315
丰	7881557
丱	1033
串	4112140
丳	183
临	6024606
丵	64781
丶	3105046
丷	14650
丸	4869203
丹	13155485
为	106796988
主	20026208
丼	9394
丽	14623961
举	4186647
丿	245064
乀	39216
乁	1684
乂	38254
乃	7621688
久	8692293
乆	4886
乇	98662
么	128576657
义	9844605
之	49400327
乌	5553001
乍	999108
乎	2518399
乏	697347
乐	22392783
乑	136
乒	596016
乓	395971
乔	4520650
乕	276
乖	7986270
乗	32060
乘	4451967
乙	2971670
乚	2684
乛	16976
乜	987944
九	16231743
乞	490695
也	191823715
习	1788811
乡	8018057
乢	131
乣	549
书	38667448
乩	261435
买	97947970
乱	26536246
乳	5190039
乸	36199
乾	1639642
乿	741
亄	124
亅	16927
了	1170101303
亇	6578
予	1151836
争	5190613
亊	15705
事	30925204
二	41873529
亍	44068
于	38410733
亏	8057620
亐	2392
云	27561257
互	4987934
亓	228959
五	26499510
井	7848187
亖	8646
亗	6182
亘	119541
亚	15898675
些	19688366
亜	50726
亝	164
亟	200912
亠	24281
亡	2021534
亢	668797
亣	3831
交	23182658
亥	370900
亦	5384660
产	7474469
亨	1215968
亩	1429764
亪	129
享	1629229
京	8131576
亭	4715687
亮	13385851
亯	368
亰	1887
亱	2304
亲	21498908
亳	54398
亴	306
亵	255576
亶	7485
亷	534
亸	1536
亹	4085
人	224598679
亻	66797
亼	12501
亽	22995
亾	16611
亿	6409110
什	2615845
仁	8393598
仂	49673
仃	41187
仄	454089
仅	5035654
仆	1081578
仇	2315675
仈	2280
仉	34382
今	5294608
介	2495319
仌	1999
仍	5419205
从	84141260
仏	9652
仐	1270
仑	629526
仒	1784
仓	4489001
仔	7891361
仕	1907100
他	263817366
仗	1987320
付	13535012
仙	12540478
仚	1210
仛	608
仜	114
仝	265174
仞	62179
仟	349410
仠	459
仡	139127
仢	62
代	11620932
令	9537507
以	56810772
仦	1943
仧	2767
仨	1303256
仩	65757
仪	6392889
仫	104347
们	30328890
仭	495
仮	20958
仯	9731
仰	1314350
仱	802
仲	3606917
仳	32158
仴	9312
仵	66456
件	14496868
价	15542986
仸	1066
仹	389
仺	1933
任	11585223
仼	3378
份	7567579
仾	26
仿	2527793
伀	1999
企	1836509
伂	91
伃	753
伄	226
伅	466
伆	634
伇	179
伈	45385
伉	97222
伊	8575766
伌	210
伍	2722800
伎	273767
伏	3152782
伐	3649875
休	7045644
伒	407
伓	513
伔	116
伖	1057
众	7272230
优	6251630
伙	1332346
会	150166726
伛	31627
伜	57
伝	69377
伞	2683754
伟	15624141
传	23868181
伡	383
伢	337408
伣	167
伤	11466865
伥	71346
伦	6107005
伧	15951
伨	71
伩	870
伪	2118296
伫	33919
伬	1707
伭	371
伮	3934
伯	5131044
估	1528118
伱	615843
伲	30149
伳	215
伴	2603218
伵	73
伶	673155
伷	1584
伸	1943377
伹	864
伺	310315
伻	264
似	4322533
伽	578489
伾	12086
伿	194
佀	3285
佁	708
佂	1477
佃	201658
佄	177
佅	154
但	65423370
佉	4675
佊	262
佋	270
佌	1548
位	13597944
低	19552755
住	28898735
佐	2894946
佑	1820314
佒	162
体	17474846
何	16135856
佖	462
佗	69802
佘	499996
余	8847814
佚	62696
佛	9179585
作	12612295
佝	129325
佞	71654
佟	1053988
你	1263531862
佡	1528
佢	905356
佣	415137
佤	86560
佥	48044
佦	175
佧	8263
佨	430
佩	3155278
佫	469
佬	2217178
佭	215
佮	397
佯	97806
佰	679473
佱	149
佲	5250
佳	13199213
佴	8621
佶	56180
佷	35686
佸	2193
佹	5100
佺	13354
佻	13173
佼	136915
佽	6556
佾	17545
使	16955360
侀	3348
侁	1607
侂	2730
侃	1654596
侄	499083
侅	503
侇	90
侈	141216
侉	128796
侊	702
例	2668894
侌	99
侍	976169
侎	1261
侏	34676
侐	364
侑	158131
侒	3038
侓	6500
侔	138108
侕	3612
侗	270417
侘	3435
侙	329
侚	212
供	5355702
侜	571
依	5592636
侞	4510
侟	722
侠	3986936
価	10869
侢	9135
侣	369140
侥	165717
侦	524788
侧	7008533
侨	1259505
侩	256615
侪	35903
侫	535
侬	1102822
侭	723
侮	85945
侯	5023736
侰	123
侱	40
侲	328
侳	362
侴	586
侵	590196
侸	381
侹	972
侺	91
侻	326
侼	184
侽	12466
侾	159
便	11338223
俀	95
促	2099670
俄	2439260
俅	119669
俆	4319
俇	533
俈	275
俉	524
俊	9975672
俋	150
俌	237
俍	2574
俎	171925
俏	1144966
俐	500629
俑	315044
俒	307
俓	2873
俔	168
俕	65
俖	189
俗	3627839
俘	59591
俙	1527
俚	229022
俛	1641
俜	118960
保	12996864
俞	1873633
俟	200991
信	23885272
俣	122946
俥	784
俦	169537
俨	220831
俩	14530419
俪	340640
俬	30449
俭	448670
修	20414946
俯	303322
俱	1512621
俳	208124
俶	44640
俸	182630
俺	16227114
俾	704244
俿	324
倅	2360
倇	67
倈	398
倊	37
倌	318642
倍	5790719
倎	149
倏	203094
倐	396
倒	17757829
倓	4294
倔	611949
倕	928
倗	3239
倘	331400
候	1895003
倚	822878
倛	321
倜	207229
倝	254
倞	4570
借	13100603
倠	261
倡	133188
倢	1724
値	17423
倥	154482
倦	316372
倧	2204
倨	178735
倩	3456061
倪	2193268
倬	154836
倭	361965
倮	153478
倯	1041
倰	283
倱	58
倲	1965
倳	78550
倴	4755
倵	638
倶	7358
倷	1649
倸	299
倹	293
债	2333523
倻	4104
值	13324073
倽	81
